PL.,   Lifters,BY,Team,Weight,WF,Lot,Squat1,Squat2,Squat3,Best Squat,Bench1,Bench2,Bench3,Best Bench,Dead1,Dead2,Dead3,Best Deadlift,Total Tom,TOTAL,W.pts.,Pts.,Year,Sex,Division,Sort
12,Brown Amanda,1978,AUS,56.35,"11,709",11,110,110,115,,60,65,70,,147.5,152.5,152.5,,0,327.5,383.47,1,2015,F,Classic,382
6,Bueno Erica,1980,BRA,61.1,"10,994",1,185,192.5,197.5,,140,147.5,147.5,,175,185,190,,0,517.5,568.94,5,2015,F,Open,175
6,Bull Tanya,1983,GBR,69.85,0.9963,6,127.5,137.5,142.5,,65,70,72.5,,160,175,185,,0,395,393.54,5,2015,F,Classic,409
12,Buxbom Eva,1969,DEN,56.39,"11,702",3,155,157.5,162.5,,87.5,87.5,92.5,,170,177.5,177.5,,0,415,485.63,1,2015,F,Open,165
9,Casey Mariska,1978,RSA,45.68,"13,724",6,80,87.5,92.5,,45,47.5,50,,90,110,120,,0,262.5,360.25,2,2015,F,Classic,358
2,Castellain Ana,1985,BRA,70.32,0.9917,12,235,242.5,247.5,,162.5,167.5,177.5,,200,210,212.5,,0,620,614.85,9,2015,F,Open,181
5,Chang Ya-Wen,1984,TPE,91.59,0.858,15,200,210,215,,102.5,110,115,,170,190,205,,0,515,441.87,6,2015,F,Classic,429
4,Chang Ya-Wen,1984,TPE,89.89,0.8645,20,245,255,260,,145,152.5,160,,210,220,220,,0,627.5,542.47,7,2015,F,Open,209
6,Chen Jie-Wen,1990,TPE,125.41,0.7934,16,252.5,252.5,262.5,,135,150,152.5,,170,182.5,190,,0,597.5,474.06,5,2015,F,Open,211
1,Chen Wei-Ling,1982,TPE,46.56,"13,540",3,140,147.5,152.5,,72.5,80,85,,165,172.5,175,,0,407.5 -w,551.75,12,2015,F,Classic,350
7,Cherne Lodrina,1982,USA,56,"11,766",5,117.5,125,125,,67.5,67.5,72.5,,145,157.5,165,,0,357.5,420.63,4,2015,F,Classic,377
7,Chou Chien-Yu,1982,TPE,56.47,"11,689",11,160,170,180,,80,90,95,,185,197.5,207.5,,0,457.5,534.77,4,2015,F,Open,160
5,Chou Yi-Ju,1980,TPE,50.52,"12,746",14,150,160,165,,67.5,75,77.5,,180,185,190,,0,427.5,544.89,6,2015,F,Open,145
14,Cichon Susann,1987,GER,56.52,"11,681",13,157.5,165,165,,72.5,77.5,82.5,,160,170,170,,0,407.5,476,1,2015,F,Open,167
4,Clarke Kelli,1980,AUS,61.98,"10,874",8,147.5,160,167.5,,70,75,77.5,,170,180,187.5,,0,422.5,459.43,7,2015,F,Classic,391
15,Courqueux Cecile,1983,FRA,56.52,"11,681",12,150,157.5,162.5,,75,80,80,,145,155,162.5,,0,392.5,458.48,1,2015,F,Open,168
3,Davis Sebrina,1970,USA,81.08,0.9083,8,165,182.5,182.5,,95,100,107.5,,205,217.5,228,,0,482.5,438.25,8,2015,F,Classic,417
11,de Joux Ana,1979,NZL,101.84,0.8283,19,165,175,180,,77.5,82.5,82.5,,175,175,190,,0,422.5,349.96,1,2015,F,Classic,435
2,Derevyanko Anastasiya,1987,UKR,51.03,"12,648",9,175,185,187.5,,110,115,120,,180,185,190,,0,497.5,629.24,9,2015,F,Open,142
13,Dillen Carolina,1983,NZL,62.84,"10,760",4,115,122.5,125,,67.5,72.5,72.5,,140,150,152.5,,0,350,376.6,1,2015,F,Classic,400
11,Drabalkova Michaela,1989,CZE,70.48,0.9902,3,170,180,190,,100,105,112.5,,140,150,157.5,,0,442.5,438.16,1,2015,F,Open,190
2,Dubenskaya Maria,1988,RUS,62.53,"10,801",4,212.5,222.5,227.5,,155,162.5,171.5,,185,185,195,,0,584,630.78,9,2015,F,Open,171
5,Duplooy Eileen,1983,CAN,75.41,0.9474,1,155,165,170,,87.5,92.5,95,,175,185,192.5,,0,455,431.07,6,2015,F,Classic,419
10,Edwards Louise,1978,GBR,51.42,"12,575",11,130,137.5,,,67.5,72.5,75,,142.5,150,157.5,,0,370,465.27,1,2015,F,Open,150
3,Elverum Marte,1990,NOR,71.17,0.9837,6,235,235,242.5,,135,135,137.5,,210,220,222.5,,0,595,585.3,8,2015,F,Open,182
7,Elwyn Susan,1947,USA,45.96,"13,665",4,85,100,105,,45,52.5,52.5,,110,122.5,127.5,,0,272.5,372.37,4,2015,F,Open,139
6,Evangelista Leslie,1981,PHI,46.78,"13,494",9,102.5,107.5,110,,57.5,60,65,,142.5,150,152.5,,0,327.5,441.93,5,2015,F,Classic,355
1,Filimonova Inna,1976,RUS,56.54,"11,678",7,160,168,172.5,,75,80,85,,175,182.5,190,,0,447.5 -w,522.59,12,2015,F,Classic,371
3,Filimonova Inna,1976,RUS,56.66,"11,658",8,205,215,220,,105,105,110,,185,192.5,207.5,,0,517.5,603.3,8,2015,F,Open,156
1,Fukushima Yukako,1970,JPN,46.09,"13,638",1,170,180,187.5,,120,127.5,131.5,,155,165,170,,0,484.0 -w,660.08,12,2015,F,Open,133
1,Gemaletdinova Olga,1986,RUS,115.39,0.8054,18,270,280,285,,165,175,180,,220,240,271,,0,705,567.81,12,2015,F,Open,206
2,Golubeva Olga,1970,RUS,51.48,"12,563",12,125,130,135,,92.5,97.5,100,,160,170,180.5,,0,402.5 -w,505.66,9,2015,F,Classic,361
9,Graham Abi,1978,GBR,62.12,"10,855",2,110,120,125,,72.5,77.5,80,,160,170,175,,0,377.5,409.78,2,2015,F,Classic,396
5,Grandas Liimatainen Miia,1986,SWE,50.13,"12,821",10,125,132.5,132.5,,65,70,75,,150,160,170,,0,355,455.15,6,2015,F,Classic,364
4,Grandas Liimatainen Miia,1986,SWE,50.73,"12,706",19,175,177.5,192.5,,85,90,90,,170,175,182.5,,0,435,552.71,7,2015,F,Open,144
7,Gudmundsdottir Helga,1974,ISL,62.72,"10,776",5,172.5,177.5,180,,115,120,120,,172.5,177.5,177.5,,0,472.5,509.17,4,2015,F,Open,176
8,Gudsteinsdottir Maria,1970,ISL,71.08,0.9845,2,177.5,177.5,185,,107.5,112.5,112.5,,175,182.5,190,,0,472.5,465.18,3,2015,F,Open,187
10,Guignon Lauren,1986,AUS,56.41,"11,699",14,112.5,120,125,,60,60,65,,160,170,,,0,345,403.62,1,2015,F,Classic,380
4,Hanson Natalie,1990,USA,82.89,0.8978,12,240,247.5,247.5,,147.5,155,160,,200,200,207.5,,0,607.5,545.41,7,2015,F,Open,197
4,Hartwig-Gary Suzanne,1968,USA,51.09,"12,637",13,135,145,151,,67.5,72.5,75,,135,145,150,,0,365,461.25,7,2015,F,Classic,363
8,Haveson Alyssa,1988,USA,56.48,"11,688",15,115,122.5,127.5,,67.5,72.5,77.5,,142.5,160,162.5,,0,355,414.92,3,2015,F,Classic,378
15,Hayashi Hisako,1951,JPN,61.69,"10,913",6,110,120,130,,60,67.5,70,,125,135,137.5,,0,325.0 -w3,354.67,1,2015,F,Classic,402
8,Higgs Jasmine,1980,AUS,51.7,"12,522",18,102.5,105,105,,70,75,80,,130,135,140,,0,312.5,391.31,3,2015,F,Classic,367
9,Hinchley Megan,1981,AUS,51.21,"12,614",15,110,115,117.5,,57.5,62.5,65,,122.5,130,132.5,,0,310,391.03,2,2015,F,Classic,368
6,Horna Ivana,1990,SVK,62.49,"10,806",9,147.5,152.5,157.5,,77.5,82.5,82.5,,185,190,190,,0,420,453.85,5,2015,F,Classic,393
3,Htee Maria,1988,CAN,56.21,"11,732",12,155,160,162.5,,82.5,85,87.5,,150,155,157.5,,0,405,475.15,8,2015,F,Classic,373
10,Hung Min-Chu,1983,TPE,83.34,0.8953,6,170,170,,,160,167.5,172.5,,130,140,145,,0,482.5,431.98,1,2015,F,Open,203
9,Ip Wing-Yuk,1961,HKG,61.25,"10,973",9,107.5,127.5,127.5,,77.5,87.5,87.5,,100,120,135,,0,305,334.68,2,2015,F,Open,178
10,Kaneko Mutsumi,1986,JPN,67.5,"10,206",2,110,120,127.5,,60,65,67.5,,110,120,127.5,,0,307.5,313.83,1,2015,F,Classic,413
